features,min,max,pso_min,pso_max
Charge,1.0,33.0,6.940712064117836,3.4231461064730198
melting_volume,500.0,1326.0,1230.1064527642347,625.5257420263574
time_diff_melt_hold,1.0,24.0,21.03917077380015,4.43587636729868
holding_temp,1302.0,1425.0,1320.6408377730481,1336.9714303855276
Metal Temp Set,677.0,1170.0,981.1330628482967,1054.34282494469
Metal Temp,835.0,1198.0,893.1153088263485,944.1593466193982
before_cooler_temp,12.0,46.0,36.96837830766783,42.6811696336062
after_cooler_temp,23.0,69.0,68.3676450283981,67.47933652604925
Waiting Time,4.8,26.1,4.810835993687079,20.23300530813418
w_kg,0.0,38202.0,13029.588487914401,29801.958259069972
mm/min,0.0,600.0,106.81796983280591,39.806027132272945
w_d/w_t,0.5363984674329502,12.5,4.5788428866790385,6.7630611680231025
